name,description,category,image,calories,protein,carbohydrates,fat,fiber,sugar,nutritionDensityScore,sodium,cholesterol,calcium,iron,potassium,magnesium,zinc,vitaminA,vitaminC,vitaminD,vitaminE,vitaminK
ramen noodle soup dry,Ramen Noodle Soup Dry is a nutritious food rich in essential nutrients.,Others,,371,8.9,53.9,13.3,2.0,1.3,106.5,1.7,0.0,24.7,3.4,152.2,19.6,0.7,0.0,0.3,0.0,1.3,0.038
chicken noodle soup,Chicken Noodle Soup is a nutritious food rich in essential nutrients.,Meat,,145,7.2,18.4,4.7,2.7,0.0,33.513,2.1,24.2,0.0,0.4,115.1,2.0,0.095,0.029,0.1,0.0,0.0,0.2
chicken bouillon dry,Chicken Bouillon Dry is a nutritious food rich in essential nutrients.,Meat,,11,0.7,0.7,0.6,0.0,0.7,9.502,1.0,0.5,7.5,0.061,12.4,2.2,0.083,0.0,0.048,0.0,0.06,0.0
cream of asparagus soup,Cream Of Asparagus Soup is a nutritious food rich in essential nutrients.,Dairy,,174,4.6,21.5,8.2,1.0,1.8,100.43,1.7,10.1,58.0,1.6,347.8,7.6,1.8,0.091,5.5,0.0,1.2,0.01
turkey noodle soup,Turkey Noodle Soup is a nutritious food rich in essential nutrients.,Meat,,139,7.8,17.3,4.0,1.5,1.0,55.582,1.6,10.1,22.7,1.9,151.2,10.1,1.2,0.082,0.3,0.0,0.4,0.062
cream of shrimp soup,Cream Of Shrimp Soup is a nutritious food rich in essential nutrients.,Dairy,,181,5.6,16.5,10.4,0.5,0.0,69.41,1.7,32.8,35.3,1.1,118.4,17.6,1.5,0.026,0.0,0.0,0.0,0.0
bean with pork soup,Bean With Pork Soup is a nutritious food rich in essential nutrients.,Meat,,335,15.3,44.1,11.5,15.3,7.8,249.324,1.7,5.2,156.0,4.0,975.0,85.8,2.0,0.021,3.1,0.0,2.3,0.011
chicken broth,Chicken Broth is a nutritious food rich in essential nutrients.,Meat,,12,1.0,1.0,0.5,0.0,0.0,33.6,0.9,0.0,14.1,0.5,188.0,2.4,0.2,0.0,16.5,0.0,0.0,0.0
beef broth powder,Beef Broth Powder is a nutritious food rich in essential nutrients.,Meat,,8,0.6,0.6,0.3,0.0,0.6,3.739,0.9,0.4,2.2,0.03,16.1,1.8,0.0,0.0,0.0,0.0,0.068,0.016
split pea soup,Split Pea Soup is a nutritious food rich in essential nutrients.,Legumes,,180,9.7,29.9,2.3,4.8,12.8,91.6,0.4,5.1,43.0,1.9,463.0,35.4,1.0,0.0,0.0,0.0,0.5,0.022
escarole soup,Escarole Soup is a nutritious food rich in essential nutrients.,Others,,61,3.4,4.0,4.0,0.0,0.0,95.0,2.3,5.5,71.9,1.7,591.7,11.1,5.0,0.0,10.0,0.0,0.0,0.0
chicken stock,Chicken Stock is a nutritious food rich in essential nutrients.,Meat,,86,6.0,8.5,2.9,0.0,3.8,25.696,0.3,7.2,7.2,0.5,252.0,9.6,0.3,0.009,0.5,0.0,0.046,0.081
tomato bisque soup,Tomato Bisque Soup is a nutritious food rich in essential nutrients.,Vegetables,,248,4.5,47.7,5.0,2.1,0.0,152.913,1.8,10.3,80.0,1.7,838.5,18.1,1.2,0.017,11.9,0.0,0.0,0.0
shark fin soup,Shark Fin Soup is a nutritious food rich in essential nutrients.,Others,,99,6.9,8.2,4.3,0.0,0.0,43.2,1.1,4.3,21.6,2.0,114.5,15.1,1.8,0.0,0.2,0.0,0.0,0.0
onion soup,Onion Soup is a nutritious food rich in essential nutrients.,Vegetables,,113,7.5,16.4,3.5,1.7,6.7,87.173,1.3,0.0,54.1,1.4,137.8,4.9,1.2,0.02,2.5,0.0,0.5,0.088
chicken gumbo soup,Chicken Gumbo Soup is a nutritious food rich in essential nutrients.,Meat,,113,5.3,16.8,2.9,4.0,4.9,88.8,1.7,7.6,47.9,1.8,151.2,7.6,0.8,0.0,10.1,0.0,0.9,0.024
crab soup,Crab Soup is a nutritious food rich in essential nutrients.,Seafood,,95,10.4,12.5,0.8,2.4,0.0,120.3,0.6,41.5,83.0,1.9,434.3,41.5,1.9,0.0,9.3,0.0,0.0,0.041
tripe soup,Tripe Soup is a nutritious food rich in essential nutrients.,Others,,148,17.2,8.1,5.2,0.0,0.0,75.9,0.8,118.0,44.0,1.4,162.0,20.0,2.1,0.0,0.0,0.0,0.8,0.031
little india little lunch,Little India Little Lunch is a nutritious food rich in essential nutrients.,Others,,164,0.0,2.0,10.6,0.0,0.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
original chicken sandwich chick fil a,Original Chicken Sandwich Chick Fil A is a nutritious food rich in essential nutrients.,Meat,,125,0.0,0.0,5.1,0.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sausage mcmuffin mcdonalds,Sausage Mcmuffin Mcdonalds is a nutritious food rich in essential nutrients.,Others,,383,14.6,28.2,24.2,1.6,2.2,328.5,0.8,44.9,257.6,2.3,216.2,24.2,1.5,0.0,0.0,0.0,0.3,0.0
sausage mcgriddles mcdonalds,Sausage Mcgriddles Mcdonalds is a nutritious food rich in essential nutrients.,Others,,421,11.4,42.2,24.0,1.4,15.2,166.0,1.0,32.4,85.1,1.9,195.8,18.9,1.0,0.0,0.0,0.0,0.0,0.0
crispy chicken drumstick kentucky fried chicken,Crispy Chicken Drumstick Kentucky Fried Chicken is a nutritious food rich in essential nutrients.,Meat,,70,10.6,0.0,3.0,0.0,0.0,20.632,0.2,56.2,6.6,0.4,111.9,9.4,1.0,0.025,0.0,0.0,0.0,0.0
chicken crispy drumsticks kentucky fried chicken,Chicken Crispy Drumsticks Kentucky Fried Chicken is a nutritious food rich in essential nutrients.,Meat,,156,11.8,4.5,10.1,0.0,0.0,41.248,0.4,62.1,14.3,0.5,135.1,12.0,1.0,0.071,0.0,0.0,0.0,0.0
biscuit kentucky fried chicken,Biscuit Kentucky Fried Chicken is a nutritious food rich in essential nutrients.,Meat,,185,3.8,22.1,9.1,0.8,1.7,68.5,0.5,0.5,31.2,1.5,59.8,7.8,0.3,0.0,0.0,0.0,0.7,0.071
english muffin mcdonalds,English Muffin Mcdonalds is a nutritious food rich in essential nutrients.,Others,,97,5.7,2.9,2.3,0.2,1.5,24.548,0.031,20.7,0.08,13.1,0.0,0.3,0.0,0.3,0.0,0.3,0.0,166.4
french fries mcdonalds,French Fries Mcdonalds is a nutritious food rich in essential nutrients.,Others,,378,4.0,49.8,18.1,4.6,0.2,77.129,0.2,0.0,0.003,0.1,148.6,0.9,0.07,0.052,0.4,6.6,0.0,1.6
hotdog,Hotdog is a nutritious food rich in essential nutrients.,Others,,383,16.4,28.5,23.0,0.0,0.0,109.0,1.1,69.8,37.2,3.7,226.3,20.2,3.1,0.0,0.2,0.0,0.0,0.0
french fries burger king,French Fries Burger King is a nutritious food rich in essential nutrients.,Others,,207,2.4,28.6,9.2,2.1,0.4,42.635,0.2,0.0,0.083,0.005,88.1,0.5,0.0,0.085,0.2,1.6,0.0,1.8
original taco with beef cheese lettuce taco bell,Original Taco With Beef Cheese Lettuce Taco Bell is a nutritious food rich in essential nutrients.,Vegetables,,158,6.1,13.7,8.8,2.7,0.6,93.8,0.3,19.3,61.4,0.8,144.2,22.1,1.2,0.0,0.3,0.0,0.4,0.068
hotdog with chili,Hotdog With Chili is a nutritious food rich in essential nutrients.,Others,,296,13.5,31.3,13.4,0.0,0.0,83.6,0.5,51.3,19.4,3.3,166.4,10.3,0.8,0.0,2.7,0.0,0.0,0.0
chicken crispy wings kentucky fried chicken,Chicken Crispy Wings Kentucky Fried Chicken is a nutritious food rich in essential nutrients.,Meat,,148,9.2,5.1,10.1,0.0,0.0,40.161,0.3,47.1,15.4,0.3,98.1,9.7,0.5,0.033,0.0,0.0,0.0,0.0
egg white delight mcdonalds,Egg White Delight Mcdonalds is a nutritious food rich in essential nutrients.,Eggs,,250,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
french toast sticks burger king,French Toast Sticks Burger King is a nutritious food rich in essential nutrients.,Others,,73,1.3,8.7,3.7,0.3,2.1,25.5,0.014,0.0,11.1,0.4,23.3,4.0,0.1,0.0,0.0,0.0,0.2,0.009
mcchicken mcdonalds,Mcchicken Mcdonalds is a nutritious food rich in essential nutrients.,Meat,,358,13.7,36.6,17.3,1.7,4.7,69.5,0.8,35.4,0.0,0.1,182.1,2.3,0.0,0.1,0.0,0.0,0.0,0.0
nachos supreme taco bell,Nachos Supreme Taco Bell is a nutritious food rich in essential nutrients.,Others,,480,14.8,45.0,26.6,8.0,0.0,241.0,0.8,37.1,142.4,4.2,471.9,89.7,2.7,0.0,0.0,0.0,1.4,0.074
crispy chicken wing kentucky fried chicken,Crispy Chicken Wing Kentucky Fried Chicken is a nutritious food rich in essential nutrients.,Meat,,104,12.6,1.3,5.3,0.0,0.0,32.851,0.3,64.2,13.2,0.4,116.6,11.0,0.8,0.019,0.0,0.0,0.0,0.0
chicken strips burger king,Chicken Strips Burger King is a nutritious food rich in essential nutrients.,Meat,,105,6.6,7.4,5.5,0.5,0.0,20.168,0.3,15.8,0.046,0.005,104.8,0.2,0.07,0.055,0.1,0.4,0.0,1.4
crispy chicken breast kentucky fried chicken,Crispy Chicken Breast Kentucky Fried Chicken is a nutritious food rich in essential nutrients.,Meat,,214,38.2,0.4,6.7,0.0,0.0,74.065,0.7,121.8,28.0,0.7,432.6,39.2,1.2,0.061,0.0,0.0,0.0,0.0
sausage biscuit mcdonalds,Sausage Biscuit Mcdonalds is a nutritious food rich in essential nutrients.,Others,,440,11.3,31.8,29.7,1.4,2.3,141.05,1.0,33.9,64.4,2.4,207.1,15.2,1.0,0.049,0.0,0.0,0.9,0.0
sausage burrito mcdonalds,Sausage Burrito Mcdonalds is a nutritious food rich in essential nutrients.,Others,,339,13.0,24.2,17.1,1.2,1.4,261.627,0.8,172.9,203.4,1.8,154.8,19.2,1.3,0.004,0.9,0.0,0.2,0.0
onion rings fried,Onion Rings Fried is a nutritious food rich in essential nutrients.,Vegetables,,27,0.3,2.8,1.6,0.2,0.4,12.551,0.015,0.0,7.5,0.038,10.9,1.2,0.007,0.0,0.055,0.0,0.3,0.0
onion rings burger king,Onion Rings Burger King is a nutritious food rich in essential nutrients.,Vegetables,,379,3.5,39.7,23.0,2.5,4.9,175.4,0.7,0.0,104.7,0.7,152.0,17.3,0.5,0.0,1.3,0.0,4.5,0.0
turkey patty fried,Turkey Patty Fried is a nutritious food rich in essential nutrients.,Meat,,79,3.9,4.4,5.0,0.1,0.053,17.934,0.2,21.0,3.9,0.6,77.0,4.2,0.4,0.088,0.0,0.078,0.3,0.074
hotcakes with syrup mcdonalds,Hotcakes With Syrup Mcdonalds is a nutritious food rich in essential nutrients.,Others,,601,9.0,101.8,17.8,2.0,45.5,259.4,0.6,19.9,126.0,2.8,276.3,28.7,0.6,0.0,0.0,0.0,0.0,0.0
crispy chicken thigh kentucky fried chicken,Crispy Chicken Thigh Kentucky Fried Chicken is a nutritious food rich in essential nutrients.,Meat,,163,20.4,0.0,9.1,0.0,0.0,49.591,0.5,107.4,19.1,0.9,246.6,20.0,1.7,0.078,0.0,0.0,0.0,0.0
corn dog,Corn Dog is a nutritious food rich in essential nutrients.,Grains,,195,6.7,21.0,9.4,0.8,5.9,38.257,0.5,34.3,0.086,0.1,174.7,1.5,0.012,0.1,0.059,0.4,0.044,0.5
chicken box mcdonalds,Chicken Box Mcdonalds is a nutritious food rich in essential nutrients.,Meat,,70,0.2,5.5,4.0,0.0,0.5,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
potato wedges kentucky fried chicken,Potato Wedges Kentucky Fried Chicken is a nutritious food rich in essential nutrients.,Vegetables,,379,5.4,45.0,19.8,4.2,0.0,110.6,1.0,0.0,34.8,1.4,699.5,40.2,0.6,0.0,0.0,0.0,1.1,0.068
scrambled eggs mcdonalds,Scrambled Eggs Mcdonalds is a nutritious food rich in essential nutrients.,Eggs,,98,7.7,0.9,7.5,0.0,0.1,50.931,0.04,217.8,33.7,1.1,70.9,6.1,0.7,0.046,0.0,0.0,0.7,0.0
egg mcmuffin mcdonalds,Egg Mcmuffin Mcdonalds is a nutritious food rich in essential nutrients.,Eggs,,287,17.2,27.3,12.2,1.4,2.7,58.5,0.8,207.9,0.0,0.1,252.0,2.9,0.0,0.1,0.2,1.5,0.0,0.7
nachos taco bell,Nachos Taco Bell is a nutritious food rich in essential nutrients.,Others,,362,5.1,36.0,21.9,3.8,0.0,156.0,0.5,4.0,88.1,1.1,180.2,51.5,1.1,0.0,0.0,0.0,1.0,0.07
biscuit large mcdonalds,Biscuit Large Mcdonalds is a nutritious food rich in essential nutrients.,Others,,310,5.5,39.4,14.4,1.8,2.7,132.022,0.9,0.0,68.4,2.5,108.0,9.9,0.4,0.095,0.0,0.0,1.1,0.0
crispy chicken strips kentucky fried chicken,Crispy Chicken Strips Kentucky Fried Chicken is a nutritious food rich in essential nutrients.,Meat,,129,9.5,6.4,7.2,0.7,0.0,35.9,0.4,24.0,11.8,0.3,156.5,15.5,0.3,0.0,0.0,0.0,0.4,0.092
hotcakes mcdonalds,Hotcakes Mcdonalds is a nutritious food rich in essential nutrients.,Others,,113,3.0,19.0,2.9,0.7,4.4,68.2,0.2,6.4,41.7,0.9,85.8,9.4,0.2,0.0,0.0,0.0,0.3,0.0
chicken crispy breast kentucky fried chicken,Chicken Crispy Breast Kentucky Fried Chicken is a nutritious food rich in essential nutrients.,Meat,,375,29.7,11.9,23.2,0.0,0.0,103.428,0.8,106.4,37.8,0.8,361.2,33.6,1.1,0.023,0.0,0.0,0.0,0.0
hotcakes sausage mcdonalds,Hotcakes Sausage Mcdonalds is a nutritious food rich in essential nutrients.,Others,,776,15.5,102.4,34.9,2.1,45.7,292.7,0.9,50.2,134.6,3.2,390.7,37.0,1.3,0.0,0.0,0.0,0.0,0.0
chicken mcnuggets mcdonalds,Chicken Mcnuggets Mcdonalds is a nutritious food rich in essential nutrients.,Meat,,48,2.5,2.4,3.2,0.0,0.025,8.181,0.009,7.0,0.0,0.017,43.5,0.1,0.0,0.071,0.072,0.2,0.0,0.0
chips chipotle,Chips Chipotle is a nutritious food rich in essential nutrients.,Others,,151,0.2,2.1,7.1,0.0,2.1,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biscuit mcdonalds,Biscuit Mcdonalds is a nutritious food rich in essential nutrients.,Others,,261,4.7,33.3,12.2,1.5,2.2,111.687,0.7,0.0,57.8,2.1,91.2,8.4,0.3,0.07,0.0,0.0,0.9,0.0
rice bowl with chicken,Rice Bowl With Chicken is a nutritious food rich in essential nutrients.,Meat,,36,1.6,6.4,0.4,0.2,1.2,13.178,0.064,4.5,3.7,0.008,34.8,4.0,0.1,0.026,0.8,0.0,0.08,0.043
spaghetti with meatballs,Spaghetti With Meatballs is a nutritious food rich in essential nutrients.,Others,,200,8.7,22.9,8.2,5.4,5.8,45.656,0.6,14.0,0.036,0.1,114.0,2.1,0.057,0.2,0.1,3.8,0.049,1.0
meat ravioli canned,Meat Ravioli Canned is a nutritious food rich in essential nutrients.,Others,,259,8.9,36.0,8.9,4.2,6.3,94.963,0.9,13.1,34.1,2.8,442.8,34.1,1.2,0.088,0.0,0.0,1.4,0.09
cheese ravioli canned,Cheese Ravioli Canned is a nutritious food rich in essential nutrients.,Dairy,,186,6.0,33.0,3.5,3.1,9.0,127.3,0.7,7.3,79.9,1.8,561.4,36.3,0.9,0.0,0.0,0.0,2.1,0.067
premium crispy chicken ranch blt sandwich mcdonalds,Premium Crispy Chicken Ranch Blt Sandwich Mcdonalds is a nutritious food rich in essential nutrients.,Meat,,586,35.3,59.8,22.9,3.4,13.3,219.1,1.2,72.0,84.0,3.4,0.0,0.0,0.0,0.0,10.3,0.0,0.0,0.0
steak sandwich,Steak Sandwich is a nutritious food rich in essential nutrients.,Beverages,,459,30.3,52.0,14.1,0.0,0.0,198.9,0.8,73.4,91.8,5.2,524.3,49.0,4.5,0.0,5.5,0.0,0.0,0.0
cheeseburger burger king,Cheeseburger Burger King is a nutritious food rich in essential nutrients.,Dairy,,380,19.4,31.5,19.7,3.7,6.0,201.6,0.8,59.9,123.7,3.3,236.7,31.9,3.2,0.0,0.3,0.0,0.1,0.093
cheeseburger mcdonalds,Cheeseburger Mcdonalds is a nutritious food rich in essential nutrients.,Dairy,,313,15.4,33.1,14.0,1.3,7.4,266.0,0.7,41.7,198.7,2.8,238.0,23.8,2.3,0.0,0.7,0.0,0.0,0.0
double cheeseburger,Double Cheeseburger is a nutritious food rich in essential nutrients.,Dairy,,643,37.0,41.0,36.9,2.1,9.5,119.347,0.9,114.0,0.054,0.2,376.2,5.4,0.017,1.6,0.5,6.6,0.033,0.8
double hamburger,Double Hamburger is a nutritious food rich in essential nutrients.,Meat,,942,52.1,51.4,58.6,5.2,13.2,169.626,1.1,172.0,0.094,0.4,415.1,10.5,0.026,1.5,0.4,0.7,0.059,2.5
premium grilled chicken classic sandwich mcdonalds,Premium Grilled Chicken Classic Sandwich Mcdonalds is a nutritious food rich in essential nutrients.,Meat,,366,28.3,44.6,8.6,2.8,10.0,167.718,0.8,68.0,74.0,3.0,456.0,56.0,1.4,0.051,6.4,0.0,1.1,0.0
big n tasty with cheese mcdonalds,Big N Tasty With Cheese Mcdonalds is a nutritious food rich in essential nutrients.,Dairy,,573,27.2,39.7,36.0,3.2,9.5,339.7,1.0,91.4,224.8,4.4,491.5,44.5,5.1,0.0,4.4,0.0,0.0,0.0
premium grilled chicken club sandwich mcdonalds,Premium Grilled Chicken Club Sandwich Mcdonalds is a nutritious food rich in essential nutrients.,Meat,,493,38.3,44.3,18.0,2.7,6.4,328.1,1.0,102.6,211.9,3.1,0.0,0.0,0.0,0.0,9.8,0.0,0.0,0.0
quarter pounder mcdonalds,Quarter Pounder Mcdonalds is a nutritious food rich in essential nutrients.,Others,,417,24.1,37.9,19.8,2.7,8.8,233.7,0.7,66.7,143.6,4.1,388.2,37.6,4.6,0.0,1.5,0.0,0.0,0.0
premium crispy chicken classic sandwich mcdonalds,Premium Crispy Chicken Classic Sandwich Mcdonalds is a nutritious food rich in essential nutrients.,Meat,,524,27.8,58.6,20.0,3.2,12.4,196.9,1.0,59.8,78.2,3.3,522.1,62.1,1.5,0.0,5.8,0.0,0.0,0.0
veggie burger,Veggie Burger is a nutritious food rich in essential nutrients.,Eggs,,124,11.0,10.0,4.4,3.4,0.7,128.9,0.4,3.5,95.2,1.7,233.1,39.2,0.9,0.0,3.2,0.0,0.2,0.069
quarter pounder with cheese mcdonalds,Quarter Pounder With Cheese Mcdonalds is a nutritious food rich in essential nutrients.,Dairy,,513,29.0,39.7,28.3,2.8,9.8,392.2,1.2,93.5,286.6,4.2,435.8,43.8,5.2,0.0,1.6,0.0,0.0,0.0
beef sandwich steak raw,Beef Sandwich Steak Raw is a nutritious food rich in essential nutrients.,Meat,,173,9.2,0.0,15.1,0.0,0.0,32.0,0.043,39.8,6.7,1.0,130.5,9.0,2.0,0.0,0.0,0.077,0.1,0.046
cheeseburger,Cheeseburger is a nutritious food rich in essential nutrients.,Dairy,,292,15.0,28.7,13.2,1.6,5.9,60.289,0.6,41.4,0.04,0.1,154.1,3.2,0.021,0.5,1.1,0.7,0.042,0.3
premium grilled chicken ranch blt sandwich mcdonalds,Premium Grilled Chicken Ranch Blt Sandwich Mcdonalds is a nutritious food rich in essential nutrients.,Meat,,412,33.7,44.3,10.9,2.8,10.5,181.4,1.0,76.8,76.8,3.0,0.0,0.0,0.0,0.0,9.9,0.0,0.0,0.0
double whopper with cheese burger king,Double Whopper With Cheese Burger King is a nutritious food rich in essential nutrients.,Dairy,,1061,57.7,53.9,68.1,6.4,14.4,519.2,1.5,187.5,311.2,21.1,754.1,75.8,14.0,0.0,0.8,0.0,0.2,0.082
big mac mcdonalds,Big Mac Mcdonalds is a nutritious food rich in essential nutrients.,Others,,563,25.9,44.0,32.8,3.5,8.7,365.5,1.0,78.8,254.0,4.4,396.4,43.8,4.2,0.0,0.9,0.0,0.0,0.0
sandwich with cold cuts,Sandwich With Cold Cuts is a nutritious food rich in essential nutrients.,Others,,833,41.1,79.9,39.3,4.7,12.4,166.871,2.2,105.6,0.023,0.5,437.9,7.1,0.065,0.5,0.8,29.3,0.012,1.6
filet o fish mcdonalds,Filet O Fish Mcdonalds is a nutritious food rich in essential nutrients.,Seafood,,378,15.1,35.4,19.6,1.9,4.9,235.3,0.6,42.9,160.8,2.1,294.8,36.2,0.8,0.0,0.4,0.0,1.6,0.058
hand breaded chicken tenders carls jr,Hand Breaded Chicken Tenders Carls Jr is a nutritious food rich in essential nutrients.,Meat,,57,0.0,0.2,2.9,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grilled chicken sandwich wendys,Grilled Chicken Sandwich Wendys is a nutritious food rich in essential nutrients.,Meat,,370,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sandwich with roast beef,Sandwich With Roast Beef is a nutritious food rich in essential nutrients.,Meat,,410,28.6,44.3,13.0,0.0,0.0,135.393,0.8,73.4,41.0,2.8,330.5,67.0,4.4,0.03,5.6,0.0,0.0,0.0
hamburger burger king,Hamburger Burger King is a nutritious food rich in essential nutrients.,Meat,,258,14.7,26.5,10.4,2.0,5.5,54.28,0.5,34.7,0.049,0.1,124.7,2.8,0.055,0.5,0.056,0.2,0.0,0.068
big n tasty mcdonalds,Big N Tasty Mcdonalds is a nutritious food rich in essential nutrients.,Others,,524,24.7,38.5,31.7,3.2,8.8,257.7,0.7,76.6,150.8,4.4,464.0,41.8,4.8,0.0,4.4,0.0,0.0,0.0
roast beef sandwich,Roast Beef Sandwich is a nutritious food rich in essential nutrients.,Meat,,364,22.6,33.1,15.3,1.9,5.7,73.951,1.0,44.7,0.039,0.1,298.0,3.9,0.055,0.6,0.3,0.0,0.0,0.6
roast beef sandwich with cheese,Roast Beef Sandwich With Cheese is a nutritious food rich in essential nutrients.,Dairy,,473,32.2,45.4,18.0,0.0,0.0,283.72,1.6,77.4,183.0,5.1,345.0,40.5,5.4,0.082,0.0,0.0,0.0,0.0
hamburger,Hamburger is a nutritious food rich in essential nutrients.,Meat,,255,12.9,28.7,9.9,1.7,5.8,53.859,0.5,28.1,0.068,0.027,106.7,2.8,0.017,0.4,0.1,0.3,0.041,0.053
premium fish sandwich burger king,Premium Fish Sandwich Burger King is a nutritious food rich in essential nutrients.,Seafood,,572,22.6,58.7,27.4,2.0,7.8,195.8,1.3,68.2,81.4,3.3,453.2,55.0,1.1,0.0,0.4,0.0,0.0,0.014
whopper burger king,Whopper Burger King is a nutritious food rich in essential nutrients.,Others,,790,35.4,52.8,48.4,3.2,13.0,405.8,1.4,113.8,259.1,6.3,534.0,56.9,5.1,0.0,0.6,0.0,0.3,0.008
sandwich with tuna salad,Sandwich With Tuna Salad is a nutritious food rich in essential nutrients.,Seafood,,584,29.7,55.4,28.0,0.0,0.0,193.569,1.3,48.6,74.2,2.6,335.4,79.4,1.9,0.004,3.6,0.0,0.0,0.0
original chicken sandwich burger king,Original Chicken Sandwich Burger King is a nutritious food rich in essential nutrients.,Meat,,569,24.2,52.2,29.2,4.8,6.0,205.9,1.3,61.7,91.5,3.6,390.0,45.8,1.2,0.0,0.4,0.0,0.0,0.019
double whopper burger king,Double Whopper Burger King is a nutritious food rich in essential nutrients.,Others,,942,52.1,51.4,58.6,5.2,13.2,309.4,1.1,172.0,130.9,10.5,718.1,67.3,11.2,0.0,0.7,0.0,0.0,0.023
premium crispy chicken club sandwich mcdonalds,Premium Crispy Chicken Club Sandwich Mcdonalds is a nutritious food rich in essential nutrients.,Meat,,635,39.1,57.4,29.9,3.0,12.7,376.2,1.2,96.5,233.7,3.4,0.0,0.0,0.0,0.0,9.7,0.0,0.0,0.0
hamburger mcdonalds,Hamburger Mcdonalds is a nutritious food rich in essential nutrients.,Meat,,251,12.3,28.8,9.6,1.2,5.7,52.357,0.5,25.7,0.0,0.049,101.7,2.7,0.066,0.4,0.0,0.6,0.0,0.0
pepperoni pizza dominos,Pepperoni Pizza Dominos is a nutritious food rich in essential nutrients.,Vegetables,,308,12.7,36.0,12.6,2.4,4.2,226.5,0.7,28.3,159.3,2.6,206.8,27.1,1.5,0.0,0.9,0.0,1.1,0.034
sausage pizza,Sausage Pizza is a nutritious food rich in essential nutrients.,Others,,325,13.3,35.5,14.3,2.7,3.9,66.337,0.7,26.7,0.078,0.1,223.9,2.8,0.003,0.3,0.099,2.0,0.0,1.1
pepperoni pizza,Pepperoni Pizza is a nutritious food rich in essential nutrients.,Vegetables,,313,13.0,35.5,13.2,2.6,3.6,64.836,0.8,27.8,0.05,0.1,219.8,2.8,0.022,0.3,0.093,1.0,0.0,1.0
pepperoni pizza pizza hut,Pepperoni Pizza Pizza Hut is a nutritious food rich in essential nutrients.,Vegetables,,269,12.3,30.3,10.9,1.6,3.5,206.086,0.8,25.0,148.8,2.1,198.7,22.1,1.6,0.087,0.0,0.0,0.7,0.037
cheese pizza pizza hut,Cheese Pizza Pizza Hut is a nutritious food rich in essential nutrients.,Dairy,,260,11.5,30.0,10.5,1.7,3.2,256.272,0.7,23.0,200.6,1.9,166.1,21.1,1.6,0.075,0.0,0.0,0.7,0.039
cheese pizza,Cheese Pizza is a nutritious food rich in essential nutrients.,Dairy,,285,12.2,35.7,10.4,2.5,3.8,61.304,0.6,18.2,0.082,0.1,231.1,2.7,0.031,0.3,0.066,1.5,0.0,0.9
cheese pizza dominos,Cheese Pizza Dominos is a nutritious food rich in essential nutrients.,Dairy,,278,11.7,35.9,9.7,2.4,4.3,243.663,0.6,18.4,180.4,2.5,173.9,25.9,1.3,0.068,1.0,0.0,1.1,0.028
meat vegetable pizza,Meat Vegetable Pizza is a nutritious food rich in essential nutrients.,Others,,332,15.0,34.5,14.8,3.0,5.1,233.148,0.8,36.7,163.2,2.5,250.2,31.3,1.7,0.032,0.1,0.0,1.2,0.065
sucker raw,Sucker Raw is a nutritious food rich in essential nutrients.,Others,,146,26.6,0.0,3.7,0.0,0.0,143.779,0.0,65.2,111.3,2.1,604.2,47.7,1.2,0.041,0.0,0.0,0.0,0.0
northern pike raw,Northern Pike Raw is a nutritious food rich in essential nutrients.,Others,,348,76.3,0.0,2.7,0.0,0.0,321.946,0.2,154.4,225.7,2.2,1025.6,122.8,2.7,0.059,15.0,0.025,0.8,0.089
haddock cooked,Haddock Cooked is a nutritious food rich in essential nutrients.,Others,,135,30.0,0.0,0.8,0.0,0.0,52.159,0.4,99.0,21.0,0.3,526.5,39.0,0.6,0.012,0.0,0.064,0.8,0.004
burbot cooked,Burbot Cooked is a nutritious food rich in essential nutrients.,Others,,104,22.3,0.0,0.9,0.0,0.0,81.891,0.1,69.3,57.6,1.0,466.2,36.9,0.9,0.071,0.0,0.0,0.0,0.0
pollock cooked,Pollock Cooked is a nutritious food rich in essential nutrients.,Others,,356,75.3,0.0,3.8,0.0,0.0,313.428,0.3,274.8,232.5,1.8,1377.1,259.7,1.8,0.045,0.0,0.0,0.0,0.0
rainbow smelt raw,Rainbow Smelt Raw is a nutritious food rich in essential nutrients.,Others,,27,5.0,0.0,0.7,0.0,0.0,23.004,0.019,19.8,17.0,0.3,82.1,8.5,0.5,0.036,0.0,0.045,0.1,0.068
whitefish cooked,Whitefish Cooked is a nutritious food rich in essential nutrients.,Seafood,,265,37.7,0.0,11.6,0.0,0.0,100.864,0.1,118.6,50.8,0.7,625.2,64.7,2.0,0.082,0.0,0.0,0.0,0.0
